seed,mode,method,scope,model_n,event_genes,connectors,total_nodes,cv_delta_r2,cv_objective,holdout_r2,holdout_delta_r2,holdout_delta_r2_excluding_selected_targets,bootstrap_lower,bootstrap_upper,event_gene_count,random_control_n,random_median,random_q05,random_q95,random_control_percentile,random_empirical_upper_p
20260916,tln1_seeded,frequency_ppi,kidney_lineage,24,TLN1,,1,0.00019321425329328314,-5.6785746706716864e-05,-0.028719846345934164,0.0027196911323770223,0.002546127015033761,0.0008678683253599593,0.004791987596229046,1,1,0.003880697291189117,0.003880697291189117,0.003880697291189117,,
20260916,tln1_seeded,frequency_ppi,rcc,20,TLN1,,1,0.00019321425329328314,-5.6785746706716864e-05,-0.03660230326842884,0.002841824426552675,0.0026432996908072326,0.0007070708424198707,0.005531627551166311,1,1,0.003880697291189117,0.003880697291189117,0.003880697291189117,,
20260916,tln1_seeded,frequency_ppi,ccrcc,12,TLN1,,1,0.00019321425329328314,-5.6785746706716864e-05,-0.036410792385674906,0.003880697291189117,0.0036166460366791053,0.0006793810034095517,0.008185251693587277,1,1,0.003880697291189117,0.003880697291189117,0.003880697291189117,1.0,
20260916,tln1_seeded,static_cv_ppi,kidney_lineage,24,AJUBA|CTNNA1|DSC3|TLN1|TP53,CHUK|CTNNB1|PKD1,8,0.005255093001182947,0.0032550930011829467,-0.012450655467659999,0.018988882010651187,0.01513445204205488,0.012877903876556423,0.02541057440526262,5,200,0.006839241833692333,0.0013492038413469478,0.012943445004580485,,
20260916,tln1_seeded,static_cv_ppi,rcc,20,AJUBA|CTNNA1|DSC3|TLN1|TP53,CHUK|CTNNB1|PKD1,8,0.005255093001182947,0.0032550930011829467,-0.0213399068235276,0.018104220871453913,0.014209463324155847,0.010611565076998206,0.02564701754788357,5,200,0.006839241833692333,0.0013492038413469478,0.012943445004580485,,
20260916,tln1_seeded,static_cv_ppi,ccrcc,12,AJUBA|CTNNA1|DSC3|TLN1|TP53,CHUK|CTNNB1|PKD1,8,0.005255093001182947,0.0032550930011829467,-0.021263879823891996,0.019027609852972027,0.015385150726524799,0.00821200204695003,0.029462509850959117,5,200,0.006839241833692333,0.0013492038413469478,0.012943445004580485,0.99,0.014925373134328358
20260916,tln1_seeded,greedy_ppi,kidney_lineage,24,TLN1,,1,0.00019321425329328314,-5.6785746706716864e-05,-0.028719846345934164,0.0027196911323770223,0.002546127015033761,0.0009215807609935396,0.004908402257923456,1,1,0.003880697291189117,0.003880697291189117,0.003880697291189117,,
20260916,tln1_seeded,greedy_ppi,rcc,20,TLN1,,1,0.00019321425329328314,-5.6785746706716864e-05,-0.03660230326842884,0.002841824426552675,0.0026432996908072326,0.0005171117268360076,0.005638760030899502,1,1,0.003880697291189117,0.003880697291189117,0.003880697291189117,,
20260916,tln1_seeded,greedy_ppi,ccrcc,12,TLN1,,1,0.00019321425329328314,-5.6785746706716864e-05,-0.036410792385674906,0.003880697291189117,0.0036166460366791053,0.0007125867392949724,0.008302825983015382,1,1,0.003880697291189117,0.003880697291189117,0.003880697291189117,1.0,
20260916,tln1_seeded,beam_ppi,kidney_lineage,24,AJUBA|CTNNA1|DSC3|TLN1|TP53,CHUK|CTNNB1|PKD1,8,0.005255093001182947,0.0032550930011829467,-0.012450655467659999,0.018988882010651187,0.01513445204205488,0.012848293229865396,0.025420783882836914,5,200,0.006839241833692333,0.0013492038413469478,0.012943445004580485,,
20260916,tln1_seeded,beam_ppi,rcc,20,AJUBA|CTNNA1|DSC3|TLN1|TP53,CHUK|CTNNB1|PKD1,8,0.005255093001182947,0.0032550930011829467,-0.0213399068235276,0.018104220871453913,0.014209463324155847,0.01079762828866549,0.02584296551776145,5,200,0.006839241833692333,0.0013492038413469478,0.012943445004580485,,
20260916,tln1_seeded,beam_ppi,ccrcc,12,AJUBA|CTNNA1|DSC3|TLN1|TP53,CHUK|CTNNB1|PKD1,8,0.005255093001182947,0.0032550930011829467,-0.021263879823891996,0.019027609852972027,0.015385150726524799,0.009202305343884444,0.029697660645133885,5,200,0.006839241833692333,0.0013492038413469478,0.012943445004580485,0.99,0.014925373134328358
20260917,unrestricted,frequency_ppi,kidney_lineage,24,DSP|DST,COL17A1,3,0.0020739764573171615,0.0013239764573171615,-0.02829820056231447,0.0031413369159967175,0.0031936494791557912,0.001154991508960689,0.005097005801903629,2,200,0.002646234550870208,-0.0024203241324266766,0.00836279652298506,,
20260917,unrestricted,frequency_ppi,rcc,20,DSP|DST,COL17A1,3,0.0020739764573171615,0.0013239764573171615,-0.03581569981035981,0.003628427884621699,0.0036889729966278484,0.001356072880770654,0.006024192663077935,2,200,0.002646234550870208,-0.0024203241324266766,0.00836279652298506,,
20260917,unrestricted,frequency_ppi,ccrcc,12,DSP|DST,COL17A1,3,0.0020739764573171615,0.0013239764573171615,-0.03577553630839092,0.004515953368473102,0.004629165280965797,0.0007492334615207321,0.008241577669977063,2,200,0.002646234550870208,-0.0024203241324266766,0.00836279652298506,0.7,0.30845771144278605
20260917,unrestricted,static_cv_ppi,kidney_lineage,24,FBN1|LAMC2|THBS1,COL7A1|DCN,5,0.004790096841385438,0.0035400968413854374,-0.023922838841889726,0.007516698636421459,0.007702828853146659,0.0025733169968025216,0.011882743173265953,3,200,0.003879359645598157,-0.0025402081454202973,0.011122653493324126,,
20260917,unrestricted,static_cv_ppi,rcc,20,FBN1|LAMC2|THBS1,COL7A1|DCN,5,0.004790096841385438,0.0035400968413854374,-0.03351106438578477,0.00593306330919674,0.006216909832655881,-8.46241359286927e-05,0.010768887626323017,3,200,0.003879359645598157,-0.0025402081454202973,0.011122653493324126,,
20260917,unrestricted,static_cv_ppi,ccrcc,12,FBN1|LAMC2|THBS1,COL7A1|DCN,5,0.004790096841385438,0.0035400968413854374,-0.028315787649525914,0.011975702027338109,0.012096434918343224,0.003817173246279822,0.018623483956577213,3,200,0.003879359645598157,-0.0025402081454202973,0.011122653493324126,0.965,0.03980099502487562
