mode,seed,adaptive_method_selected_by_cv,adaptive_cv_objective,static_cv_objective,adaptive_holdout_delta_r2,static_holdout_delta_r2,adaptive_minus_static,bootstrap_mean_lower,bootstrap_mean_upper,decision
unrestricted,20260929,beam_ppi,0.004029086825633639,0.0035551759512799756,0.010847593873096972,0.011975702027338109,-0.0011281081542411364,-0.0004383760273357842,0.0012808883835942226,STOP_DDQN_ROUTE
unrestricted,20260930,beam_ppi,0.0038232927742578933,0.003767687867362652,0.009129741690430349,0.010847593873096972,-0.0017178521826666238,-0.0004383760273357842,0.0012808883835942226,STOP_DDQN_ROUTE
tln1_seeded,20260911,beam_ppi,0.003522463424863318,0.0018155309152179074,0.019027609852972027,0.013254659885272968,0.005772949967699059,0.0013706599746769333,0.0038293062038465098,STOP_DDQN_ROUTE
tln1_seeded,20260912,beam_ppi,0.003750415526952341,0.003750415526952341,0.019027609852972027,0.019027609852972027,0.0,0.0013706599746769333,0.0038293062038465098,STOP_DDQN_ROUTE
tln1_seeded,20260913,beam_ppi,0.002155121974015995,0.002155121974015995,0.012657085794090639,0.012657085794090639,0.0,0.0013706599746769333,0.0038293062038465098,STOP_DDQN_ROUTE
tln1_seeded,20260914,beam_ppi,0.0037841092056324676,0.0037841092056324676,0.019027609852972027,0.019027609852972027,0.0,0.0013706599746769333,0.0038293062038465098,STOP_DDQN_ROUTE
tln1_seeded,20260915,beam_ppi,0.003776761028455971,0.0017788309641657328,0.017600450143456126,0.012657085794090639,0.004943364349365487,0.0013706599746769333,0.0038293062038465098,STOP_DDQN_ROUTE
tln1_seeded,20260916,beam_ppi,0.0032550930011829467,0.0032550930011829467,0.019027609852972027,0.019027609852972027,0.0,0.0013706599746769333,0.0038293062038465098,STOP_DDQN_ROUTE
tln1_seeded,20260917,beam_ppi,0.003699812440887319,0.0023946236844905296,0.019027609852972027,0.013277276007918948,0.005750333845053079,0.0013706599746769333,0.0038293062038465098,STOP_DDQN_ROUTE
tln1_seeded,20260918,beam_ppi,0.001924760389594565,0.001924760389594565,0.014834599082300448,0.014834599082300448,0.0,0.0013706599746769333,0.0038293062038465098,STOP_DDQN_ROUTE
tln1_seeded,20260919,greedy_ppi,0.003955919100212991,0.003955919100212991,0.019027609852972027,0.019027609852972027,0.0,0.0013706599746769333,0.0038293062038465098,STOP_DDQN_ROUTE
tln1_seeded,20260920,beam_ppi,0.0028046342735776773,0.0014012769088796834,0.019027609852972027,0.012448134381907616,0.006579475471064411,0.0013706599746769333,0.0038293062038465098,STOP_DDQN_ROUTE
tln1_seeded,20260921,greedy_ppi,0.0038655918689038836,0.0038655918689038836,0.019027609852972027,0.019027609852972027,0.0,0.0013706599746769333,0.0038293062038465098,STOP_DDQN_ROUTE
tln1_seeded,20260922,beam_ppi,0.003785087819919394,0.0023006659334018882,0.019027609852972027,0.014834599082300448,0.004193010770671579,0.0013706599746769333,0.0038293062038465098,STOP_DDQN_ROUTE
tln1_seeded,20260923,beam_ppi,0.003490581700111699,0.003432724629967603,0.016903429787788582,0.019027609852972027,-0.0021241800651834453,0.0013706599746769333,0.0038293062038465098,STOP_DDQN_ROUTE
tln1_seeded,20260924,beam_ppi,0.0038336026010066795,0.0021554830034695056,0.019027609852972027,0.013254659885272968,0.005772949967699059,0.0013706599746769333,0.0038293062038465098,STOP_DDQN_ROUTE
tln1_seeded,20260925,beam_ppi,0.0034642140059072506,0.0020875196916177174,0.019027609852972027,0.015301893407918543,0.003725716445053484,0.0013706599746769333,0.0038293062038465098,STOP_DDQN_ROUTE
tln1_seeded,20260926,beam_ppi,0.004057636781657105,0.004000894525666867,0.01814441473772188,0.019027609852972027,-0.000883195115250146,0.0013706599746769333,0.0038293062038465098,STOP_DDQN_ROUTE
tln1_seeded,20260927,beam_ppi,0.004114146564129987,0.0022012987449341707,0.017600450143456126,0.013254659885272968,0.0043457902581831576,0.0013706599746769333,0.0038293062038465098,STOP_DDQN_ROUTE
tln1_seeded,20260928,beam_ppi,0.0030027679432256165,0.0014028877906296637,0.019027609852972027,0.013254659885272968,0.005772949967699059,0.0013706599746769333,0.0038293062038465098,STOP_DDQN_ROUTE
tln1_seeded,20260929,beam_ppi,0.0036858265366475663,0.00221575705454364,0.019027609852972027,0.013277276007918948,0.005750333845053079,0.0013706599746769333,0.0038293062038465098,STOP_DDQN_ROUTE
tln1_seeded,20260930,beam_ppi,0.003766991656093081,0.0018893024247669647,0.016903429787788582,0.014834599082300448,0.002068830705488134,0.0013706599746769333,0.0038293062038465098,STOP_DDQN_ROUTE
