alpha,model,comparison,scope,model_n,r2,delta_r2,bootstrap_lower,bootstrap_upper
1000.0,context_interactions,multiomics,kidney_lineage,24,-0.34732583581088194,-0.34492973317685105,-0.5417629855894003,-0.214057150316615
1000.0,context_interactions,multiomics,rcc,20,-0.30045635615088906,-0.2905693390306472,-0.44381136649268105,-0.1840219960777279
1000.0,context_interactions,multiomics,ccrcc,12,-0.32850930667105227,-0.32174476073786606,-0.6406545013969205,-0.1770478747494972
1000.0,targetwise_multiomics,background,pan_cancer,883,0.02337815547572375,0.005277506053971481,0.004590227683203729,0.005987660145151927
1000.0,targetwise_multiomics,background,non_kidney,859,0.023558805190859733,0.005227461069624462,0.004496343415684645,0.00590739144436733
1000.0,targetwise_multiomics,background,kidney_lineage,24,0.01738206074248383,0.006938590694158586,0.004228489538433598,0.010623739171950601
1000.0,targetwise_multiomics,background,rcc,20,0.017729643364547965,0.00592044184183671,0.004412640279131847,0.007660999809545141
1000.0,targetwise_multiomics,background,ccrcc,12,0.028543810502892786,0.00628535271643027,0.004299022525430494,0.009003898336375656
1000.0,targetwise_context,targetwise_multiomics,pan_cancer,883,0.01858859456804174,-0.004789560907682011,-0.010280967343552652,-0.0014872472999410138
1000.0,targetwise_context,targetwise_multiomics,non_kidney,859,0.019553988862401783,-0.00400481632845795,-0.00944921125158586,-0.0005916192527238262
1000.0,targetwise_context,targetwise_multiomics,kidney_lineage,24,-0.013454609261820627,-0.030836670004304456,-0.05406438671967109,-0.013053237357957912
1000.0,targetwise_context,targetwise_multiomics,rcc,20,-0.004864203815698742,-0.022593847180246707,-0.04094038216008882,-0.009395128839307798
1000.0,targetwise_context,targetwise_multiomics,ccrcc,12,0.010641659254058022,-0.017902151248834763,-0.04366907972301604,-0.0017371837664927553
10000.0,background,background,pan_cancer,883,0.005459906328439623,0.0,0.0,0.0
10000.0,background,background,non_kidney,859,0.005378071332892254,0.0,0.0,0.0
10000.0,background,background,kidney_lineage,24,0.008176159633507374,0.0,0.0,0.0
10000.0,background,background,rcc,20,0.009415213472420136,0.0,0.0,0.0
10000.0,background,background,ccrcc,12,0.011193910820048059,0.0,0.0,0.0
10000.0,multiomics,background,pan_cancer,883,0.02978078039267218,0.024320874064232556,0.022551285042592722,0.026168882559685178
10000.0,multiomics,background,non_kidney,859,0.02976634015348456,0.024388268820592307,0.022576431601192323,0.02641749363750533
10000.0,multiomics,background,kidney_lineage,24,0.030260078364850562,0.02208391873134319,0.01490200374197918,0.029493774322272837
10000.0,multiomics,background,rcc,20,0.031462087437931,0.02204687396551086,0.013879627755462108,0.03016640909352006
10000.0,multiomics,background,ccrcc,12,0.03917532907369303,0.027981418253644974,0.021896913671326096,0.03473758956105706
10000.0,context_interactions,multiomics,pan_cancer,883,0.010434936245929838,-0.01934584414674234,-0.039445729034550195,-0.006593044343824249
10000.0,context_interactions,multiomics,non_kidney,859,0.013385685894881538,-0.016380654258603022,-0.03622337686622781,-0.003022598460363634
10000.0,context_interactions,multiomics,kidney_lineage,24,-0.08750584608997647,-0.11776592445482703,-0.161873591566742,-0.07774876619957204
10000.0,context_interactions,multiomics,rcc,20,-0.0827530659423279,-0.1142151533802589,-0.16071478436120526,-0.07501975983578048
10000.0,context_interactions,multiomics,ccrcc,12,-0.07914377794423988,-0.11831910701793291,-0.19378223892678537,-0.06807089967181831
10000.0,targetwise_multiomics,background,pan_cancer,883,0.00709982442799173,0.0016399180995521068,0.0015122002815058354,0.0017805939936432098
10000.0,targetwise_multiomics,background,non_kidney,859,0.007018458875834077,0.0016403875429418235,0.001503494027203132,0.0017788438386025188
10000.0,targetwise_multiomics,background,kidney_lineage,24,0.009800496047615348,0.0016243364141079741,0.001005999464596749,0.0023963185337885318
10000.0,targetwise_multiomics,background,rcc,20,0.010801747579920029,0.0013865341074998927,0.0009803514886084755,0.0018720490155577057
10000.0,targetwise_multiomics,background,ccrcc,12,0.012752652516694662,0.0015587416966466039,0.0010120536816031315,0.0022217532634892954
10000.0,targetwise_context,targetwise_multiomics,pan_cancer,883,0.007235980487349858,0.0001361560593581279,-6.495683340412752e-05,0.0003027169642014845
10000.0,targetwise_context,targetwise_multiomics,non_kidney,859,0.006920701796483852,-9.775707935022471e-05,-0.00026742579505568867,2.1583674489819326e-05
10000.0,targetwise_context,targetwise_multiomics,kidney_lineage,24,0.01770065736978954,0.007900161322174193,0.004216527025549684,0.011842144486453836
10000.0,targetwise_context,targetwise_multiomics,rcc,20,0.020592978926262218,0.009791231346342189,0.005890927314434293,0.014092389276951686
10000.0,targetwise_context,targetwise_multiomics,ccrcc,12,0.025022066263261977,0.012269413746567315,0.007663253411529368,0.018431556882393275
100000.0,background,background,pan_cancer,883,0.0006378577777685912,0.0,0.0,0.0
100000.0,background,background,non_kidney,859,0.0006250396890736809,0.0,0.0,0.0
