heldout_lineage,scope,inner_fold,alpha,target_n,maximum_kkt,maximum_relative_bound,maximum_iterations,maximum_working_set_passes,maximum_active_feature_n
Head and Neck,inner,3,0.1,1204,9.93356481931995e-07,9.992737467318356e-10,1800,6,517
Head and Neck,inner,3,0.2,1204,8.889812732754132e-07,1.6032834097700582e-10,625,3,166
Head and Neck,inner,3,0.5,1204,5.411542601252428e-07,1.1156091912792543e-11,100,1,48
Head and Neck,inner,3,1.0,1204,0.0,0.0,0,0,0
Head and Neck,inner,4,0.1,1204,9.896586597307744e-07,9.077700842945519e-10,2000,6,579
Head and Neck,inner,4,0.2,1204,9.59914843667864e-07,2.1747799065509786e-10,675,4,182
Head and Neck,inner,4,0.5,1204,8.469088549900583e-07,1.4141023632065791e-11,100,2,38
Head and Neck,inner,4,1.0,1204,0.0,0.0,0,0,0
Head and Neck,inner,5,0.1,1204,9.753640114115725e-07,1.0142574502271241e-09,1975,6,537
Head and Neck,inner,5,0.2,1204,9.537192366820824e-07,2.9023553269428387e-10,575,3,191
Head and Neck,inner,5,0.5,1204,8.53331422190351e-07,1.2036340251647857e-11,100,1,38
Head and Neck,inner,5,1.0,1204,0.0,0.0,0,0,0
Head and Neck,outer,0,0.1,1204,9.95186501380474e-07,9.065107367594799e-10,1825,6,501
Kidney,inner,1,0.1,1204,9.989787698103103e-07,8.617650416591257e-10,1750,6,514
Kidney,inner,1,0.2,1204,8.735156102751551e-07,1.3212001631873592e-10,675,3,196
Kidney,inner,1,0.5,1204,9.284963223277209e-07,3.295604177073313e-11,75,1,36
Kidney,inner,1,1.0,1204,0.0,0.0,0,0,0
Kidney,inner,2,0.1,1204,9.70726193899596e-07,5.248470059235648e-10,1975,6,496
Kidney,inner,2,0.2,1204,9.388710178886983e-07,1.6618665257937602e-10,400,3,154
Kidney,inner,2,0.5,1204,5.589292844665472e-07,4.047266153616674e-12,75,1,37
Kidney,inner,2,1.0,1204,0.0,0.0,0,0,0
Kidney,inner,3,0.1,1204,9.714168142244128e-07,9.74888875605053e-10,1800,6,495
Kidney,inner,3,0.2,1204,9.805225973241738e-07,1.0404405241538632e-10,575,3,163
Kidney,inner,3,0.5,1204,7.862667908142829e-07,1.4355157975484608e-11,100,1,42
Kidney,inner,3,1.0,1204,0.0,0.0,0,0,0
Kidney,inner,4,0.1,1204,9.94886208471879e-07,9.695306657465123e-10,1925,6,521
Kidney,inner,4,0.2,1204,9.8720080596304e-07,2.194154261440418e-10,550,4,180
Kidney,inner,4,0.5,1204,6.895727934774776e-07,1.660453260451012e-11,75,1,32
Kidney,inner,4,1.0,1204,0.0,0.0,0,0,0
Kidney,inner,5,0.1,1204,9.89587858851726e-07,5.296246319084348e-10,1850,6,495
Kidney,inner,5,0.2,1204,9.875903722728063e-07,2.0311196365401734e-10,450,4,182
Kidney,inner,5,0.5,1204,3.6343393744475705e-07,9.120231294791614e-13,75,1,33
Kidney,inner,5,1.0,1204,0.0,0.0,0,0,0
Kidney,outer,0,0.1,1204,9.851107840991302e-07,7.065667571990923e-10,1725,6,452
Liver,inner,1,0.1,1204,9.71903869641244e-07,6.392285033375167e-10,1900,5,514
Liver,inner,1,0.2,1204,9.647497061227028e-07,2.810654815756173e-10,700,3,194
Liver,inner,1,0.5,1204,9.841411894861984e-07,1.746169686497611e-11,75,1,37
Liver,inner,1,1.0,1204,0.0,0.0,0,0,0
Liver,inner,2,0.1,1204,9.930848450176444e-07,6.670230816134047e-10,1750,6,527
Liver,inner,2,0.2,1204,9.675559215077678e-07,3.724305947606541e-10,500,3,149
Liver,inner,2,0.5,1204,7.546319076567887e-07,1.4090331167875071e-11,75,1,37
Liver,inner,2,1.0,1204,0.0,0.0,0,0,0
Liver,inner,3,0.1,1204,9.912093345068596e-07,6.214032110605792e-10,1975,6,507
Liver,inner,3,0.2,1204,9.856071541275435e-07,2.0504131265694039e-10,575,3,165
Liver,inner,3,0.5,1204,5.053365981777524e-07,1.0159150121846758e-11,75,1,40
Liver,inner,3,1.0,1204,0.0,0.0,0,0,0
Liver,inner,4,0.1,1204,8.95349348259411e-07,7.296500730490684e-10,2000,6,528
Liver,inner,4,0.2,1204,9.552099760334887e-07,2.0674236770180408e-10,700,3,185
Liver,inner,4,0.5,1204,9.783730058887663e-07,4.856177248877849e-11,75,1,39
Liver,inner,4,1.0,1204,0.0,0.0,0,0,0
Liver,inner,5,0.1,1204,9.890108390378516e-07,7.392920358548099e-10,1550,6,521
Liver,inner,5,0.2,1204,8.557718670088033e-07,1.7480233639610563e-10,550,4,193
Liver,inner,5,0.5,1204,3.2259918170129964e-07,1.0286605061519479e-12,75,1,33
Liver,inner,5,1.0,1204,0.0,0.0,0,0,0
Liver,outer,0,0.1,1204,9.925117860701271e-07,7.233107869988277e-10,1750,6,465
Lung,inner,1,0.1,1204,9.675112364812555e-07,5.739710913834383e-10,1575,6,508
Lung,inner,1,0.2,1204,9.533921572213444e-07,2.0102503243553117e-10,525,3,160
Lung,inner,1,0.5,1204,2.4195516029612563e-07,1.8683563481075806e-12,100,1,48
Lung,inner,1,1.0,1204,0.0,0.0,0,0,0
Lung,inner,2,0.1,1204,9.883123161455454e-07,7.04784431310911e-10,1925,6,511
Lung,inner,2,0.2,1204,9.841408051686207e-07,1.7489852928826364e-10,650,4,179
Lung,inner,2,0.5,1204,8.20268629880827e-07,2.149793807780136e-11,100,2,40
Lung,inner,2,1.0,1204,0.0,0.0,0,0,0
Lung,inner,3,0.1,1204,9.647804182985609e-07,6.026766781565229e-10,2125,5,534
Lung,inner,3,0.2,1204,9.72048605593634e-07,3.0043017870192877e-10,600,3,184
Lung,inner,3,0.5,1204,6.452242538868003e-07,1.2639175860708236e-11,125,2,40
Lung,inner,3,1.0,1204,0.0,0.0,0,0,0
Lung,inner,4,0.1,1204,9.99738721342569e-07,7.249601459419241e-10,1825,6,543
Lung,inner,4,0.2,1204,9.059226918350927e-07,1.3094921149808974e-10,550,3,200
Lung,inner,4,0.5,1204,6.596784319634619e-07,9.104030611593057e-12,75,1,33
Lung,inner,4,1.0,1204,0.0,0.0,0,0,0
Lung,inner,5,0.1,1204,9.967360862714325e-07,7.650573570376987e-10,2150,6,559
Lung,inner,5,0.2,1204,9.589785694014141e-07,2.145213394916711e-10,650,3,205
Lung,inner,5,0.5,1204,8.426634163227753e-07,9.510618423356659e-12,100,1,46
Lung,inner,5,1.0,1204,0.0,0.0,0,0,0
Lung,outer,0,0.1,1204,9.82139274262328e-07,8.975901837076668e-10,2000,7,499
