heldout_lineage,method,ndcg_at_10,selective_precision_at_10,top10_overlap,spearman,regret
Liver,expression_pcr_ridge,0.49532986574183335,0.4772727272727273,0.22727272727272727,0.31675904113489317,0.567098683485758
Lung,exp_deepdep_absolute_secondary,0.23952706711849725,0.17979797979797982,0.08484848484848485,0.1457606722292876,0.8311558846497334
Lung,exp_deepdep_residual_primary,0.2167992537173718,0.17373737373737372,0.09494949494949495,0.100729797938643,0.8744112429321734
Lung,expression_pcr_ridge,0.39208988950115403,0.30404040404040406,0.17373737373737372,0.27721891105162905,0.6597217954339674
Lymphoid,exp_deepdep_absolute_secondary,0.3826980772212305,0.395,0.10500000000000001,0.3322269475927248,0.7301017402889803
Lymphoid,exp_deepdep_residual_primary,0.3855484991024626,0.40625,0.10625,0.3223375009967627,0.7304390691529989
Lymphoid,expression_pcr_ridge,0.45538602195150757,0.5025000000000001,0.14750000000000002,0.35985869108403146,0.6206956677839999
Myeloid,exp_deepdep_absolute_secondary,0.31879178067574226,0.38999999999999996,0.11000000000000001,0.27658117779829233,0.7661844717786322
Myeloid,exp_deepdep_residual_primary,0.29133571473129055,0.37,0.14,0.29003268538357774,0.7918318768648677
Myeloid,expression_pcr_ridge,0.49385742507081876,0.5266666666666667,0.21,0.34288780112012823,0.5863682437595946
Ovary/Fallopian Tube,exp_deepdep_absolute_secondary,0.2685714223885587,0.18333333333333332,0.10555555555555557,0.18766827959215127,0.8577685753267833
Ovary/Fallopian Tube,exp_deepdep_residual_primary,0.26782011662162347,0.20277777777777778,0.11944444444444444,0.19976875387552942,0.8785691035542882
Ovary/Fallopian Tube,expression_pcr_ridge,0.47182869905580865,0.4111111111111111,0.24722222222222223,0.33305926491901694,0.5865317473611078
Pancreas,exp_deepdep_absolute_secondary,0.3305118564209172,0.3,0.12571428571428572,0.21076599826397513,0.7845687206175826
Pancreas,exp_deepdep_residual_primary,0.26223775108005576,0.22857142857142856,0.07142857142857142,0.1516709510122122,0.9039262402553498
Pancreas,expression_pcr_ridge,0.5364017447045247,0.5114285714285713,0.2628571428571429,0.3458763240288141,0.5295994028364602
Peripheral Nervous System,exp_deepdep_absolute_secondary,0.24671899864234598,0.16818181818181818,0.08636363636363636,0.16432461794899475,0.7174571601906667
Peripheral Nervous System,exp_deepdep_residual_primary,0.18321250578450704,0.09545454545454546,0.05,0.18924599792706376,0.8484342062460634
Peripheral Nervous System,expression_pcr_ridge,0.36364111717107667,0.2636363636363636,0.13636363636363635,0.289583300392445,0.63290113949005
Skin,exp_deepdep_absolute_secondary,0.24767981449546222,0.2241935483870968,0.08709677419354839,0.1834310356766995,0.9104580947302451
Skin,exp_deepdep_residual_primary,0.24375770713511113,0.2241935483870968,0.08548387096774193,0.18294599176805876,0.9160217139678738
Skin,expression_pcr_ridge,0.6026066828004834,0.5306451612903226,0.3096774193548387,0.3314817095830621,0.4879245439244798
Soft Tissue,exp_deepdep_absolute_secondary,0.27174139650862134,0.19999999999999998,0.10303030303030303,0.18953459198518707,0.7769452577285689
Soft Tissue,exp_deepdep_residual_primary,0.23128349542932922,0.19393939393939394,0.0787878787878788,0.18043101177114826,0.8212352975138172
Soft Tissue,expression_pcr_ridge,0.3981483523038754,0.31212121212121213,0.16363636363636364,0.3121294006088357,0.589192898094152
Uterus,exp_deepdep_absolute_secondary,0.23098888667761863,0.18695652173913044,0.08260869565217392,0.16683800094480078,0.8453789351270872
Uterus,exp_deepdep_residual_primary,0.21166637691273876,0.16521739130434784,0.05652173913043478,0.11775353468476438,0.8815846725928674
Uterus,expression_pcr_ridge,0.44012960293353093,0.34782608695652173,0.22173913043478263,0.21542879537344103,0.6064902735010567
