scope,model_n,model,metric,mean,improvement_vs_global,bootstrap_lower,bootstrap_upper
rcc,20,shared_multiomics,regret,0.191460544016,0.027227655650000005,0.007631846403750013,0.04735378457124998
rcc,20,targetwise_multiomics,topk_overlap,0.385,2.7755575615628915e-18,-0.024999999999999994,0.029999999999999992
rcc,20,targetwise_multiomics,ndcg,0.6066573364167736,-0.013826364252673178,-0.04093368932087979,0.011779320075204639
rcc,20,targetwise_multiomics,dependent_precision,0.29,-0.004999999999999999,-0.034999999999999996,0.025000000000000012
rcc,20,targetwise_multiomics,mean_selected_gene_effect,-0.41633594183399997,-0.008247853499999989,-0.031233441799999987,0.015243360924999963
rcc,20,targetwise_multiomics,regret,0.226936053166,-0.008247853499999989,-0.03120225257499999,0.01484504235000001
ccrcc,12,global_mean,topk_overlap,0.325,0.0,0.0,0.0
ccrcc,12,global_mean,ndcg,0.5847347369993753,0.0,0.0,0.0
ccrcc,12,global_mean,dependent_precision,0.26666666666666666,0.0,0.0,0.0
ccrcc,12,global_mean,mean_selected_gene_effect,-0.39281582214,0.0,0.0,0.0
ccrcc,12,global_mean,regret,0.24913241952666668,0.0,0.0,0.0
ccrcc,12,background,topk_overlap,0.325,0.0,0.0,0.0
ccrcc,12,background,ndcg,0.5855145899610024,0.0007798529616270857,-0.0003086628611442251,0.0019682882827117393
ccrcc,12,background,dependent_precision,0.26666666666666666,0.0,0.0,0.0
ccrcc,12,background,mean_selected_gene_effect,-0.39281582214,9.25185853854297e-18,0.0,2.7755575615628914e-17
ccrcc,12,background,regret,0.24913241952666665,9.25185853854297e-18,0.0,2.7755575615628914e-17
ccrcc,12,shared_multiomics,topk_overlap,0.3833333333333333,0.05833333333333333,0.024999999999999994,0.09999999999999998
ccrcc,12,shared_multiomics,ndcg,0.6417378491233806,0.05700311212400531,0.02873327476950777,0.08676073533486242
ccrcc,12,shared_multiomics,dependent_precision,0.3333333333333333,0.06666666666666667,0.03333333333333333,0.10000000000000002
ccrcc,12,shared_multiomics,mean_selected_gene_effect,-0.43299744380666666,0.04018162166666669,0.014483124604166705,0.06805485981250001
ccrcc,12,shared_multiomics,regret,0.20895079786,0.040181621666666674,0.014702599000000025,0.06829830725000001
ccrcc,12,targetwise_multiomics,topk_overlap,0.3333333333333333,0.008333333333333337,-0.024999999999999994,0.041666666666666664
ccrcc,12,targetwise_multiomics,ndcg,0.5763685462187731,-0.008366190780602181,-0.05053807200099633,0.0312255665529684
ccrcc,12,targetwise_multiomics,dependent_precision,0.26666666666666666,2.3129646346357427e-18,-0.041666666666666664,0.041666666666666664
ccrcc,12,targetwise_multiomics,mean_selected_gene_effect,-0.3965569829733333,0.003741160833333331,-0.027726127499999993,0.035914460875
ccrcc,12,targetwise_multiomics,regret,0.24539125869333334,0.003741160833333331,-0.02884045870833335,0.035964998916666664
