ModelID,model,selected_genes,oracle_genes
ACH-000649,targetwise_multiomics,MED1|CDAN1|LRPPRC|PPRC1|KIF14|BIRC6|NRDC|PIK3CA|UBA5|TLN1,UBA5|PPRC1|MED1|ACACA|ZNF638|BRIP1|CTNNA1|CELSR2|NRDC|ANKRD11
ACH-000684,targetwise_multiomics,CDAN1|MED1|LRPPRC|PIK3CA|UBA5|PPRC1|KIF14|BIRC6|NRDC|ASCC3,CDAN1|UBA5|SACS|PYGM|BRIP1|PDGFRA|PPRC1|RYR1|KMT2A|ZNF638
ACH-000709,targetwise_multiomics,CDAN1|MED1|LRPPRC|PIK3CA|PPRC1|UBA5|KIF14|ASCC3|ACACA|NRDC,ACACA|TLN1|ASCC3|BRIP1|CDAN1|EP300|APC|CELSR2|PAN3|SACS
ACH-000907,targetwise_multiomics,CDAN1|MED1|KIF14|LRPPRC|PPRC1|BIRC6|PIK3CA|NRDC|ASCC3|EIF3L,TLN1|UBA5|CDAN1|ANKRD11|SACS|PDGFRA|SGO2|STRN3|BRIP1|EIF3L
ACH-001163,targetwise_multiomics,CDAN1|MED1|LRPPRC|UBA5|KIF14|PIK3CA|PPRC1|ASCC3|NRDC|ACACA,LRPPRC|SMARCA4|ACACA|NF1|CDAN1|MED1|SMARCC2|ZNF638|BIRC6|MYO18A
ACH-001194,targetwise_multiomics,CDAN1|MED1|LRPPRC|KIF14|PPRC1|ASCC3|NRDC|BIRC6|EIF3L|PIK3CA,MED1|UBA5|TLN1|PIK3CA|PPRC1|SMARCC2|CDAN1|BIRC6|MYO18A|NRDC
ACH-001310,targetwise_multiomics,CDAN1|MED1|LRPPRC|UBA5|PPRC1|KIF14|PIK3CA|ASCC3|NRDC|BIRC6,ARHGEF7|LRPPRC|MED1|EIF3L|CDAN1|APC|TLN1|BRD7|UBA5|BRIP1
ACH-001398,targetwise_multiomics,MED1|CDAN1|LRPPRC|KIF14|PPRC1|BIRC6|NRDC|PIK3CA|ASCC3|UBA5,LRPPRC|ARID1A|APC|TLN1|UBA5|NFE2L2|MED1|ASCC3|ANKRD11|PIK3CA
ACH-001532,targetwise_multiomics,CDAN1|MED1|LRPPRC|UBA5|PPRC1|KIF14|PIK3CA|ASCC3|NRDC|ACACA,CDAN1|EP300|AP2B1|BRIP1|SMARCA4|LRPPRC|PPRC1|EIF3L|DHX29|SMARCC2
ACH-001687,targetwise_multiomics,MED1|CDAN1|LRPPRC|PPRC1|BIRC6|KIF14|NRDC|PIK3CA|UBA5|EIF3L,UBA5|MED1|BRIP1|ACACA|ZNF638|ANKRD11|CDAN1|MAP4K4|MYO18A|LRPPRC
ACH-002528,targetwise_multiomics,CDAN1|MED1|LRPPRC|KIF14|PPRC1|BIRC6|NRDC|ASCC3|PIK3CA|EIF3L,UBA5|MED1|ZNFX1|LRPPRC|SGO2|NRDC|CDAN1|ACACA|ZNF638|DHX29
ACH-002533,targetwise_multiomics,CDAN1|MED1|LRPPRC|UBA5|PIK3CA|PPRC1|KIF14|ASCC3|BIRC6|NRDC,MED1|EIF3L|ZNF638|LRPPRC|NRDC|APC|AHNAK|PPRC1|UBA5|ARID1A
