ModelID,model,topk_overlap,ndcg,dependent_precision,mean_selected_gene_effect,oracle_mean_gene_effect,regret,renal_cell_carcinoma,clear_cell_renal_cell_carcinoma,OncotreeSubtype
ACH-001687,shared_multiomics,0.5,0.7445020708381945,0.4,-0.4958802400000001,-0.6998068999999999,0.20392665999999982,True,True,Renal Clear Cell Carcinoma
ACH-002528,shared_multiomics,0.5,0.7356984741230008,0.5,-0.5003836,-0.670551,0.17016739999999997,True,True,Renal Clear Cell Carcinoma
ACH-002533,shared_multiomics,0.5,0.8017942457857273,0.1,-0.395515633,-0.5456766,0.15016096699999998,True,False,Renal Cell Carcinoma
ACH-000096,targetwise_multiomics,0.4,0.6490268404185805,0.3,-0.392080647,-0.6502321,0.258151453,False,False,Rhabdoid Cancer
ACH-000159,targetwise_multiomics,0.4,0.7282394298221287,0.2,-0.44118500000000005,-0.6351145,0.19392949999999998,True,True,Renal Clear Cell Carcinoma
ACH-000189,targetwise_multiomics,0.6,0.71068421307403,0.6,-0.43812829,-0.6278629,0.18973461000000003,True,False,Renal Cell Carcinoma
ACH-000250,targetwise_multiomics,0.4,0.6492339075279002,0.4,-0.5086419999999999,-0.6660372,0.15739520000000007,True,True,Renal Clear Cell Carcinoma
ACH-000262,targetwise_multiomics,0.4,0.5679917807064129,0.3,-0.3633185,-0.5551928,0.19187430000000005,True,True,Renal Clear Cell Carcinoma
ACH-000272,targetwise_multiomics,0.2,0.4758006464187453,0.1,-0.26967577,-0.5342117000000001,0.2645359300000001,True,True,Renal Clear Cell Carcinoma
ACH-000313,targetwise_multiomics,0.3,0.4671201802518644,0.3,-0.40355569999999996,-0.7498576,0.34630190000000005,True,True,Renal Clear Cell Carcinoma
ACH-000385,targetwise_multiomics,0.3,0.60389317418167,0.1,-0.3551643,-0.5212934,0.16612910000000003,True,False,Renal Cell Carcinoma
ACH-000459,targetwise_multiomics,0.3,0.4214418562147784,0.4,-0.50818227,-0.8718335999999999,0.36365132999999983,True,True,Renal Clear Cell Carcinoma
ACH-000484,targetwise_multiomics,0.4,0.5309455598550342,0.3,-0.41919544000000003,-0.7109118000000001,0.29171636000000006,True,False,Renal Cell Carcinoma
ACH-000495,targetwise_multiomics,0.4,0.7347007308572016,0.4,-0.46281344999999996,-0.6473182,0.18450475,True,False,Renal Cell Carcinoma
ACH-000533,targetwise_multiomics,0.4,0.6708794443813079,0.4,-0.60362025,-0.826357,0.22273675000000004,False,False,Rhabdoid Cancer
ACH-000649,targetwise_multiomics,0.4,0.6414191752253463,0.3,-0.4771472,-0.650493,0.1733458,True,True,Renal Clear Cell Carcinoma
ACH-000684,targetwise_multiomics,0.3,0.6885328059618991,0.3,-0.37707946000000003,-0.5640476000000001,0.18696814000000006,True,True,Renal Clear Cell Carcinoma
ACH-000709,targetwise_multiomics,0.3,0.5984738038443475,0.1,-0.32822846567999997,-0.5092555000000001,0.1810270343200001,True,True,Renal Clear Cell Carcinoma
ACH-000907,targetwise_multiomics,0.2,0.34833440699732016,0.1,-0.17833699,-0.5969775,0.41864051,True,True,Renal Clear Cell Carcinoma
ACH-001163,targetwise_multiomics,0.4,0.7340197254156045,0.4,-0.4546202000000001,-0.5898921999999999,0.13527199999999978,True,False,Renal Medullary Carcinoma
ACH-001194,targetwise_multiomics,0.6,0.6108319529878926,0.3,-0.5525252,-0.7910143999999999,0.23848919999999985,True,False,Renal Cell Carcinoma
ACH-001310,targetwise_multiomics,0.4,0.696141148466344,0.4,-0.45467690000000005,-0.6643793,0.20970239999999996,False,False,Immortalized Embyonic Kidney Cells
ACH-001398,targetwise_multiomics,0.5,0.5646053709608205,0.4,-0.44536848100000004,-0.7280915,0.28272301899999996,True,False,Renal Cell Carcinoma
ACH-001532,targetwise_multiomics,0.3,0.678519504436728,0.3,-0.5167319199999999,-0.853918,0.33718608000000005,False,False,Rhabdoid Cancer
ACH-001687,targetwise_multiomics,0.4,0.6781148125956903,0.3,-0.46935424000000003,-0.6998068999999999,0.23045265999999986,True,True,Renal Clear Cell Carcinoma
ACH-002528,targetwise_multiomics,0.4,0.6517197490588441,0.4,-0.4339782,-0.670551,0.23657280000000003,True,True,Renal Clear Cell Carcinoma
ACH-002533,targetwise_multiomics,0.5,0.7270434463779418,0.1,-0.44021968000000006,-0.5456766,0.1054569199999999,True,False,Renal Cell Carcinoma
